更新时间: 2026-05-26 00:31:19（北京时间）

更新时间,#genre#
2026-05-26 00:31:19,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

青海卫视,http://39.77.75.225:4000/udp/239.253.254.195:8000$山东联通
青海卫视,http://106.59.2.96:55555/rtp/239.200.200.58:8300$云南电信
新疆卫视,http://106.59.2.96:55555/rtp/239.200.200.62:8316$云南电信
西藏卫视,http://106.59.2.96:55555/rtp/239.200.200.61:8312$云南电信
三沙卫视,http://106.59.2.96:55555/rtp/239.200.201.136:8140$云南电信
康巴卫视,http://106.59.2.96:55555/rtp/239.200.200.166:8128$云南电信

数字频道,#genre#
CHC动作电影,http://39.77.75.225:4000/udp/239.253.254.153:8000$山东联通
CHC动作电影,http://106.59.2.96:55555/rtp/239.200.201.31:8144$云南电信
CHC家庭影院,http://39.77.75.225:4000/udp/239.253.254.152:8000$山东联通
CHC家庭影院,http://106.59.2.96:55555/rtp/239.200.201.30:8140$云南电信
CHC影迷电影,http://39.77.75.225:4000/udp/239.253.254.154:8000$山东联通
CHC影迷电影,http://106.59.2.96:55555/rtp/239.200.201.34:8148$云南电信
星空卫视,http://106.59.2.96:55555/rtp/239.200.200.134:8884$云南电信
凤凰卫视中文台,http://106.59.2.96:55555/rtp/239.200.200.132:8876$云南电信
凤凰卫视资讯台,http://106.59.2.96:55555/rtp/239.200.200.133:8880$云南电信
金鹰纪实,http://39.77.75.225:4000/udp/239.253.254.103:8000$山东联通
金鹰纪实,http://106.59.2.96:55555/rtp/239.200.201.126:8840$云南电信
纪实科教,http://106.59.2.96:55555/rtp/239.200.200.147:8728$云南电信
魅力足球,http://39.77.75.225:4000/udp/239.253.254.100:8000$山东联通
快乐垂钓,http://106.59.2.96:55555/rtp/239.200.200.103:8400$云南电信
茶频道,http://39.77.75.225:4000/udp/239.253.254.143:8000$山东联通
茶频道,http://106.59.2.96:55555/rtp/239.200.201.36:8404$云南电信
先锋乒羽,http://106.59.2.96:55555/rtp/239.200.201.33:4120$云南电信
梨园频道,http://39.77.75.225:4000/udp/239.253.254.139:8000$山东联通
梨园频道,http://106.59.2.96:55555/rtp/239.200.200.101:8048$云南电信
文物宝库,http://39.77.75.225:4000/udp/239.253.254.141:8000$山东联通
文物宝库,http://106.59.2.96:55555/rtp/239.200.200.96:8112$云南电信
武术世界,http://39.77.75.225:4000/udp/239.253.254.140:8000$山东联通
武术世界,http://106.59.2.96:55555/rtp/239.200.200.90:8064$云南电信
生活时尚,http://39.77.75.225:4000/udp/239.253.254.99:8000$山东联通
都市剧场,http://39.77.75.225:4000/udp/239.253.254.98:8000$山东联通
欢笑剧场,http://106.59.2.96:55555/rtp/239.200.200.216:8728$云南电信
游戏风云,http://39.77.75.225:4000/udp/239.253.254.95:8000$山东联通
金色学堂,http://39.77.75.225:4000/udp/239.253.254.101:8000$山东联通
动漫秀场,http://39.77.75.225:4000/udp/239.253.254.115:8000$山东联通
新动漫,http://106.59.2.96:55555/rtp/239.200.201.32:4120$云南电信
卡酷少儿,http://39.77.75.225:4000/udp/239.253.254.66:8000$山东联通
卡酷少儿,http://106.59.2.96:55555/rtp/239.200.200.64:8324$云南电信
金鹰卡通,http://39.77.75.225:4000/udp/239.253.254.117:8000$山东联通
金鹰卡通,http://106.59.2.96:55555/rtp/239.200.200.65:8328$云南电信
嘉佳卡通,http://106.59.2.96:55555/rtp/239.200.200.229:8372$云南电信
中国交通,http://39.77.75.225:4000/udp/239.253.254.177:8000$山东联通
中国交通,http://106.59.2.96:55555/rtp/239.200.201.138:8556$云南电信
中国天气,http://106.59.2.96:55555/rtp/239.200.200.213:8724$云南电信

